latitude,longitude,acq_date,brightness,bright_t31,frp,confidence
1.97967,-72.33701,2024-02-24,342.04,302.42,17.15,n
-7.60293,18.79881,2024-07-29,341.89,298.74,29.43,n
7.80866,17.36432,2024-12-31,367.0,312.22,12.15,h
-5.45786,20.80875,2024-08-12,339.72,293.36,11.29,n
14.43084,-10.88538,2024-11-02,367.0,307.07,15.42,h
22.26155,-97.80813,2024-04-02,341.01,302.51,10.14,n
-8.05582,37.16162,2024-10-13,342.79,305.43,16.14,n
-14.15153,131.38817,2024-11-10,367.0,303.99,25.26,h
8.24862,34.9683,2024-12-11,354.68,305.43,18.53,n
-15.62709,48.45787,2024-11-27,335.15,301.86,12.43,n
-22.71375,-53.62213,2024-09-11,341.59,314.65,67.9,n
11.19508,36.07957,2024-02-27,352.39,303.18,27.74,n
13.92008,-4.29153,2024-04-12,341.12,296.61,18.6,n
-8.25158,-62.96147,2024-09-08,350.97,300.13,23.0,n
30.8612,47.91732,2024-11-26,310.51,287.69,16.44,n
8.51103,7.07209,2025-01-14,342.03,303.5,11.42,n
-6.92076,33.71265,2024-09-25,339.39,298.14,10.37,n
18.30955,-92.08187,2024-05-30,348.15,310.1,12.19,n
-20.4605,-42.91811,2024-09-24,348.58,299.97,10.29,n
-14.41559,-61.74807,2024-10-08,346.71,299.86,10.9,n
-9.24919,19.74179,2024-06-18,367.0,320.82,83.88,h
-5.2985,21.93851,2024-08-08,331.39,297.58,18.35,n
18.77936,101.99354,2024-04-25,338.29,304.97,13.4,n
-6.6971,23.60516,2024-06-21,340.84,306.87,16.62,n
-12.69293,17.50497,2024-08-26,343.15,311.32,12.87,n
9.63451,0.15865,2024-04-08,346.84,307.82,35.44,n
-17.74664,23.36612,2024-07-20,355.47,312.71,13.01,n
-15.30742,-62.36575,2024-09-23,336.84,301.74,33.16,n
-14.56003,-52.10703,2024-09-22,346.39,300.05,14.33,n
-8.15556,-54.79919,2024-09-05,367.0,342.34,112.38,h
-14.05277,23.70877,2024-07-05,367.0,305.17,75.95,h
55.37893,122.05787,2024-06-06,347.61,302.69,10.46,n
-7.52475,28.78026,2024-08-25,343.48,313.05,40.47,n
64.587,-120.58592,2024-08-08,349.74,309.23,15.42,n
-15.46671,17.45671,2024-07-02,367.0,305.58,35.63,h
-3.0179,-45.3345,2024-11-22,352.06,291.93,14.62,n
5.80335,27.6419,2024-12-21,347.84,308.07,11.56,n
50.41102,128.32228,2024-10-10,346.72,273.76,17.37,n
21.02033,97.12568,2024-02-19,336.82,305.02,13.13,n
-12.49893,24.38464,2024-08-04,334.83,308.95,17.27,n
-15.8344,-62.72607,2024-09-04,331.93,297.48,11.82,n
14.07186,78.5808,2024-02-18,344.48,314.41,14.9,n
-7.68075,-55.12245,2024-08-30,340.39,304.48,11.64,n
23.16395,95.63287,2024-04-11,367.0,304.95,10.63,h
-11.346,24.63348,2024-09-23,367.0,303.55,10.97,h
-16.49624,-58.3438,2024-08-21,348.72,316.52,39.3,n
0.68779,117.55301,2024-04-21,356.34,296.29,31.29,n
-3.78187,19.04776,2024-08-26,367.0,295.86,10.91,h
-20.44729,144.89206,2024-11-04,354.77,313.49,39.51,n
-15.26977,17.44118,2024-06-17,367.0,303.7,14.93,h
-10.55447,21.83136,2024-06-23,367.0,296.69,22.04,h
51.91854,119.8102,2024-07-12,345.2,293.2,15.21,n
-14.42031,27.89404,2024-08-19,331.91,300.83,12.09,n
-27.86067,150.94958,2024-08-01,367.0,296.92,19.81,h
-17.47037,-59.23801,2024-08-05,355.65,308.81,25.26,n
-3.02746,17.20783,2024-08-12,347.1,302.83,16.15,n
10.22664,20.42175,2024-11-24,349.67,313.1,17.64,n
-4.28739,17.41378,2024-09-17,341.76,296.8,18.93,n
-22.85154,-56.13251,2024-08-03,318.05,292.52,12.72,n
-15.10934,24.73514,2024-06-14,341.0,305.77,11.05,n
7.44888,27.06724,2024-12-17,348.03,304.69,22.44,n
-19.50769,144.2677,2024-06-05,344.97,308.46,44.84,n
-6.68527,24.69087,2024-08-17,367.0,304.05,17.61,h
11.49453,14.83728,2024-02-13,345.14,316.5,11.78,n
-13.55435,-51.46798,2024-08-25,348.69,311.09,20.48,n
-32.62828,-65.62325,2024-09-19,355.85,307.93,33.53,n
-29.87056,-62.92728,2024-09-18,341.79,307.61,19.56,n
-4.84696,21.28782,2024-06-28,367.0,303.72,26.59,h
12.87333,-14.97356,2024-02-12,345.22,314.18,11.69,n
-9.68532,31.85918,2024-09-19,336.78,300.37,14.93,n
7.28811,-74.56611,2024-03-02,367.0,297.55,29.18,h
-4.19965,28.28001,2024-06-04,367.0,290.11,10.79,h
-12.45417,-66.68604,2024-09-22,336.67,304.06,13.8,n
48.9732,35.13252,2024-02-28,327.76,290.44,10.69,n
17.19358,105.36971,2024-02-14,351.16,309.35,15.68,n
-12.35087,134.01495,2024-08-05,338.86,302.7,13.06,n
-10.11038,29.5997,2024-08-21,354.19,313.63,32.58,n
15.18507,-83.66261,2024-03-22,341.47,305.71,16.48,n
-9.88771,16.59434,2024-09-09,336.46,298.78,32.13,n
21.82185,101.52899,2024-05-14,337.57,292.93,11.14,n
38.60898,-104.73457,2024-03-01,344.11,300.6,20.11,n
-12.22233,14.47742,2024-08-20,338.76,308.78,16.14,n
62.37929,-122.9229,2024-08-12,353.72,311.67,48.47,n
7.85653,0.19025,2025-01-06,340.21,312.77,10.57,n
-18.03272,36.69901,2025-01-06,344.67,306.02,12.0,n
16.84401,106.53532,2024-04-17,347.83,297.14,17.24,n
-1.11029,25.60253,2024-09-16,343.29,296.66,17.34,n
5.02589,30.71377,2025-01-13,342.69,304.06,100.46,n
-7.87193,19.38395,2024-07-25,336.27,302.69,15.65,n
-3.16327,21.53959,2024-07-24,350.74,302.93,61.07,n
-20.44922,-43.58123,2024-08-23,367.0,304.84,29.81,h
-4.67283,19.99925,2024-02-20,338.24,293.07,20.53,n
-8.12824,22.43499,2024-06-22,332.38,300.19,21.76,n
-9.14013,14.91306,2024-07-07,344.15,274.43,24.96,n
-12.80456,130.79518,2024-10-02,340.64,314.25,17.28,n
-27.16252,-52.72289,2024-11-05,343.51,301.37,10.64,n
15.17481,102.13179,2024-03-07,351.48,304.68,10.7,n
54.37,125.49718,2024-06-30,355.7,306.27,23.72,n
-10.3259,22.53775,2024-08-23,355.88,316.78,27.65,n
8.46887,13.38885,2024-03-05,349.3,318.7,10.16,n
61.57279,-109.95545,2024-07-18,367.0,296.84,15.63,h
-14.79254,-59.46946,2024-09-04,367.0,295.66,45.67,h
54.98097,-106.89645,2024-09-02,338.13,310.15,23.95,n
-10.31828,29.54194,2024-08-06,343.85,309.08,13.41,n
33.42717,-105.79724,2024-10-29,346.57,304.33,39.6,n
-12.20282,14.67657,2024-08-21,354.53,323.29,30.1,n
-34.61181,118.47538,2024-02-08,353.85,326.23,48.98,n
-11.0268,25.12817,2024-07-09,335.39,299.91,20.64,n
-15.65598,37.85097,2024-09-19,355.95,314.01,21.48,n
-17.2608,-57.36147,2024-06-04,349.84,315.52,13.46,n
-14.05152,35.74665,2024-11-10,340.31,301.86,11.54,n
21.80173,102.97137,2025-01-18,335.59,301.55,25.12,n
-7.75059,34.36852,2024-09-17,350.32,312.88,10.18,n
18.54336,-102.75371,2024-03-28,351.63,318.55,47.07,n
-7.26276,19.09645,2024-06-27,367.0,308.13,11.54,h
21.53534,94.8373,2024-03-25,355.47,306.37,13.63,n
8.35507,-11.30242,2024-03-27,340.1,303.63,22.72,n
-14.2533,20.22504,2024-08-29,347.57,319.4,14.2,n
-14.99438,33.24237,2024-07-04,350.24,306.93,17.8,n
-9.68136,32.49648,2024-11-02,343.09,309.31,13.49,n
-16.57677,132.88916,2024-11-26,332.92,290.14,22.24,n
-9.60888,31.96837,2024-08-23,367.0,300.19,22.99,h
8.00538,20.3363,2024-11-22,344.08,309.21,48.07,n
59.09033,-115.08765,2024-07-09,367.0,315.63,11.48,h
63.07205,-109.53414,2024-08-11,345.11,301.37,12.54,n
31.83368,-83.388,2024-12-31,350.64,307.2,30.37,n
-17.45539,-59.53127,2024-09-09,347.64,308.31,13.81,n
20.11159,103.86572,2024-04-30,344.56,310.1,56.88,n
11.20001,14.97671,2024-06-23,339.09,274.46,10.14,n
-8.37816,24.58534,2024-08-02,344.88,303.33,10.81,n
60.91274,-118.00622,2024-08-11,337.33,298.44,10.61,n
-3.56731,-47.35014,2024-06-29,336.7,303.15,17.61,n
-11.37308,-69.33234,2024-08-01,367.0,298.42,10.85,h
4.60422,24.83162,2024-03-08,335.98,302.72,12.2,n
48.83812,39.29152,2024-05-26,342.11,310.66,30.56,n
10.3095,0.05212,2024-12-30,345.32,310.4,26.45,n
-26.58312,30.70618,2025-01-15,347.49,304.66,12.48,n
-9.34385,-51.58759,2024-09-20,354.72,311.73,22.08,n
-9.74174,21.30046,2024-08-02,367.0,341.83,134.97,h
60.42329,96.51508,2024-08-30,325.5,291.46,31.56,n
-6.27506,17.19044,2024-08-15,353.9,293.42,24.17,n
5.75555,11.42185,2024-02-19,346.0,313.14,10.35,n
-4.35292,18.36751,2024-06-15,348.75,308.96,11.03,n
-13.41981,-64.59435,2024-06-15,342.4,296.24,11.23,n
-9.49453,-70.47648,2024-09-02,347.19,297.8,35.33,n
-5.78241,-38.36427,2024-10-30,346.89,318.29,11.49,n
7.15186,32.62009,2024-12-15,342.82,304.22,27.05,n
-14.68099,-45.47854,2024-09-25,345.27,310.28,16.64,n
58.98803,-121.44913,2024-07-09,340.68,297.54,11.97,n
-20.08604,33.76288,2024-09-06,336.68,308.27,10.17,n
10.29265,5.59053,2024-12-27,351.34,316.84,10.43,n
-0.28767,-79.62808,2024-11-11,350.24,305.78,13.04,n
6.56484,23.64471,2024-03-06,336.31,297.33,10.59,n
9.1865,4.21362,2025-01-24,353.75,311.0,10.39,n
-13.57192,-64.19669,2024-10-02,349.14,307.31,16.69,n
-24.3865,149.54807,2024-10-18,354.49,300.09,112.33,n
-37.28204,142.63419,2024-12-25,325.15,295.13,69.03,n
-2.55256,-49.12135,2024-10-27,351.75,273.6,39.52,n
-15.56976,-62.41214,2024-09-21,331.52,295.94,15.01,n
53.91158,126.31405,2024-07-01,336.59,286.66,12.05,n
-9.04599,17.47424,2024-06-05,337.48,310.52,94.09,n
7.40092,10.34149,2025-01-27,355.13,308.73,19.74,n
22.09173,98.81156,2024-10-31,367.0,292.51,15.33,h
38.04295,117.70006,2024-02-11,332.0,295.22,57.27,n
-13.26489,132.95523,2024-05-18,354.67,305.53,19.59,n
-10.69245,-56.26424,2024-10-11,339.35,301.78,10.37,n
-15.46805,131.31448,2024-09-09,343.69,296.54,20.93,n
-9.01495,18.9931,2024-07-27,352.3,307.89,15.77,n
58.99633,-121.60212,2024-07-10,336.28,299.7,10.1,n
-5.92793,26.90143,2024-09-02,339.26,301.9,73.5,n
-19.98296,-42.45661,2024-10-07,347.45,297.91,19.08,n
14.15065,104.54029,2024-02-07,340.63,304.44,21.81,n
-7.47782,-59.96501,2024-08-22,349.34,304.81,10.98,n
31.27412,48.1122,2025-01-27,304.43,281.83,11.2,n
-5.97204,36.14965,2024-10-29,349.8,314.42,20.13,n
64.81256,-123.92504,2024-08-19,343.53,296.8,28.18,n
-9.36251,14.35559,2024-09-26,334.08,291.57,14.05,n
-12.27082,31.25268,2024-09-17,353.14,308.14,10.51,n
-8.13173,-61.49171,2024-08-12,352.01,312.45,18.28,n
-16.09933,-65.27037,2024-10-08,346.83,306.84,14.14,n
-7.7067,29.64337,2024-09-13,337.56,308.85,12.98,n
-18.00772,132.73778,2024-10-30,341.99,311.03,10.79,n
-4.43478,28.41699,2024-08-25,332.32,300.6,18.53,n
7.97128,12.72952,2025-01-07,355.82,312.79,20.84,n
15.03396,-83.43769,2024-02-13,331.98,295.29,10.81,n
-9.10988,-61.0687,2024-09-01,355.96,309.65,127.33,n
-13.58901,-64.59298,2024-07-03,353.72,307.46,20.78,n
64.50813,119.96929,2024-08-05,367.0,297.02,160.0,h
-14.34755,19.95204,2024-09-21,352.21,298.57,20.7,n
-18.70152,-57.53266,2024-06-25,338.56,300.3,15.2,n
8.5448,33.47303,2024-03-04,337.9,306.25,66.75,n
-4.74686,104.74437,2024-06-26,342.91,294.28,23.39,n
-4.83566,23.85121,2024-05-06,339.25,297.58,10.17,n
46.35787,49.47891,2024-04-03,346.1,295.19,10.85,n
6.95858,33.88739,2025-01-06,354.24,307.74,38.81,n
55.59414,-100.65963,2024-08-13,338.71,295.41,12.24,n
31.31849,-88.66179,2024-02-26,344.13,317.18,42.46,n
-1.35523,19.25849,2024-08-06,339.95,294.34,32.87,n
10.93877,5.68321,2024-12-31,339.43,293.61,13.93,n
-17.45603,20.40929,2024-09-10,367.0,312.26,17.53,h
5.35239,28.77274,2025-01-02,341.61,306.54,10.69,n
-43.80022,171.88799,2024-02-22,348.02,272.91,26.8,n
-18.29008,21.27874,2024-08-31,367.0,301.8,16.12,h
-16.19581,16.88483,2024-09-04,340.5,315.07,33.58,n
-2.97788,-49.55135,2024-11-20,340.05,293.49,18.63,n
-12.78869,35.53305,2024-09-14,345.01,305.16,14.25,n
-12.62653,22.12694,2024-07-06,347.61,316.47,18.23,n
-5.49426,23.72361,2024-08-18,332.21,294.33,15.88,n
14.61448,-4.51396,2024-04-19,354.9,329.32,13.38,n
-24.93486,150.76982,2024-08-17,344.15,306.84,32.49,n
-20.97627,47.37644,2024-11-08,367.0,292.22,40.39,h
63.89466,-22.37781,2024-11-25,336.8,291.34,10.81,n
-11.57563,36.6592,2024-09-28,349.57,319.13,18.39,n
10.18965,31.78343,2024-02-07,345.29,315.49,20.49,n
-8.25905,15.49198,2024-05-11,367.0,294.31,14.72,h
-13.50243,-65.54676,2024-05-21,356.15,299.61,15.29,n
-4.60866,27.31273,2024-06-08,367.0,307.64,35.42,h
6.16318,20.75451,2024-12-17,341.42,290.03,12.75,n
5.90637,21.28935,2024-12-30,350.32,318.48,25.34,n
-33.37175,19.38153,2024-12-10,367.0,308.34,28.32,h
-9.4594,-54.89555,2024-08-05,335.86,303.99,21.03,n
-8.91031,-62.39779,2024-08-14,337.64,295.38,63.87,n
-9.20457,22.43077,2024-07-21,367.0,302.45,16.05,h
-3.80541,-55.57123,2024-11-03,334.42,292.3,79.43,n
-5.23166,17.10872,2024-08-03,345.4,297.93,51.04,n
-20.1115,-51.14648,2024-09-11,343.2,312.31,35.08,n
-11.58305,20.61954,2024-09-02,346.19,311.68,13.43,n
-7.13583,33.66686,2024-06-11,341.91,297.06,12.03,n
21.0549,-87.48032,2024-05-26,356.31,309.04,21.62,n
-15.11384,134.60352,2024-11-08,367.0,315.34,10.86,h
49.1568,37.45447,2024-05-25,340.83,308.11,10.87,n
62.45005,-122.23577,2024-08-11,353.13,291.26,17.37,n
-22.68928,150.45779,2024-06-23,367.0,297.88,14.38,h
-9.53879,-50.13818,2024-09-23,367.0,299.16,30.9,h
45.3502,126.15546,2024-11-13,337.35,283.52,10.25,n
-15.25282,38.02043,2024-09-10,340.08,297.57,23.55,n
-20.85645,-46.32544,2024-09-05,318.51,292.74,17.0,n
20.11422,96.6926,2024-04-06,345.24,302.37,66.45,n
52.11043,27.61348,2024-09-09,350.65,315.16,17.48,n
-15.5902,-55.48713,2024-09-09,367.0,320.1,22.35,h
-19.53679,-57.45262,2024-08-03,349.44,313.62,62.86,n
-2.8192,36.10184,2024-09-11,336.76,311.63,15.95,n
-18.14472,22.86111,2024-07-27,347.99,316.08,16.43,n
-8.95159,15.5856,2024-06-14,340.05,306.78,39.92,n
-24.72885,32.45102,2024-03-08,342.13,311.13,11.84,n
19.89878,103.46258,2024-04-03,338.75,306.31,38.05,n
-9.88429,22.85482,2024-07-20,350.72,303.44,10.88,n
-13.68074,134.67401,2024-07-03,348.32,300.02,21.75,n
-10.36306,33.74938,2024-09-15,340.22,306.3,10.57,n
9.64737,-9.37538,2024-12-30,367.0,310.99,17.12,h
-7.09801,15.45108,2024-07-04,342.01,305.91,13.59,n
59.60871,-118.91642,2024-07-16,354.99,307.22,13.74,n
-17.37183,45.59061,2024-05-30,336.54,305.0,15.18,n
52.80092,131.19803,2024-07-13,351.22,305.72,17.62,n
-21.4832,117.06607,2024-06-07,339.53,313.1,16.66,n
-3.53838,17.46168,2024-03-03,345.14,288.79,12.47,n
-13.54287,23.42334,2024-08-01,355.28,312.56,20.57,n
-15.90356,-57.52939,2024-09-12,333.96,298.81,15.27,n
33.4256,-110.24562,2024-07-27,333.33,301.74,10.51,n
-11.16375,33.25961,2024-07-22,367.0,300.84,12.64,h
31.76496,46.04553,2024-05-08,351.43,310.27,21.68,n
62.46717,-123.19193,2024-08-12,354.28,303.08,26.17,n
-13.18114,-67.77937,2024-09-05,341.6,303.19,17.88,n
3.77055,-76.61366,2024-05-26,352.34,297.92,18.1,n
-30.20974,-62.97124,2024-09-06,338.82,307.22,137.79,n
-15.52119,-62.40064,2024-09-21,339.4,297.19,41.65,n
-10.76566,26.47227,2024-06-04,340.5,300.6,32.72,n
-15.67409,27.281,2024-09-12,367.0,311.4,26.95,h
-13.68535,40.24412,2024-07-19,353.0,301.43,11.13,n
20.74145,100.62981,2024-02-15,367.0,303.91,20.86,h
9.90505,31.89437,2024-11-19,367.0,310.63,13.74,h
-10.74804,17.6871,2024-07-20,350.09,323.91,32.8,n
31.67781,47.43617,2024-06-25,367.0,318.03,15.83,h
-10.57065,19.11569,2024-08-15,346.21,302.03,12.61,n
-10.41571,14.72255,2024-07-25,342.63,307.34,13.57,n
7.59004,-8.5992,2024-02-24,335.11,302.16,19.9,n
55.79339,-103.74899,2024-08-27,354.03,307.29,23.92,n
-13.55438,18.31861,2024-10-09,346.06,311.68,13.06,n
-17.11765,126.83674,2024-07-19,347.64,311.73,27.97,n
-16.04446,15.62348,2024-08-12,355.02,323.47,20.35,n
-11.56302,16.06862,2024-07-25,367.0,318.56,16.79,h
-16.8627,31.46429,2024-07-06,352.06,304.57,12.72,n
-19.79472,-50.41413,2024-09-10,346.97,302.49,13.13,n
59.14751,-114.75908,2024-07-09,339.74,302.52,92.85,n
-5.62985,28.3226,2024-08-25,346.58,306.72,12.35,n
59.1599,119.94151,2024-07-07,335.92,301.81,37.88,n
24.77401,93.33057,2024-03-11,339.23,296.05,85.46,n
2.70488,21.53548,2024-03-06,367.0,297.89,21.59,h
41.0836,-8.39927,2024-09-18,354.28,293.35,13.48,n
10.03281,-10.36827,2024-03-12,348.09,306.45,13.87,n
-21.63784,-50.44343,2024-06-13,367.0,300.69,10.31,h
-27.66084,29.30882,2024-09-26,353.98,311.93,15.24,n
-15.34219,20.95351,2024-10-29,342.32,311.14,13.56,n
8.21113,23.39204,2024-02-21,367.0,313.37,10.43,h
4.93614,31.14223,2024-11-25,348.22,297.62,10.21,n
-3.75509,-80.07822,2024-12-18,356.23,296.37,10.95,n
-14.97426,-65.9706,2024-10-07,339.01,302.51,11.45,n
6.14139,20.22982,2024-02-06,346.21,307.64,10.61,n
47.95553,131.63242,2024-04-02,337.82,285.21,36.84,n
-12.62025,-56.85619,2024-06-26,354.25,312.29,25.86,n
-11.45345,29.45096,2024-08-11,349.28,304.47,13.59,n
63.28008,-118.43712,2024-08-09,353.78,312.54,17.76,n
-6.51059,26.20391,2024-08-25,349.05,320.0,20.43,n
-7.46367,-42.52436,2024-12-11,334.03,302.76,14.5,n
37.7902,-91.53375,2024-03-20,343.82,299.26,18.39,n
18.76787,-88.60166,2024-05-29,352.29,306.11,10.32,n
-4.28289,-40.95424,2024-09-23,367.0,339.14,287.82,h
52.74828,-118.00891,2024-07-24,347.71,265.49,15.75,n
-26.06088,30.49029,2024-07-07,352.42,313.4,13.36,n
-3.92793,15.75421,2024-08-23,347.06,305.6,12.24,n
8.48013,23.67286,2024-12-31,344.01,310.3,15.13,n
-15.17359,37.99278,2024-08-28,336.59,299.81,10.18,n
-19.56555,45.95371,2024-08-10,351.09,304.73,10.68,n
-14.74525,16.13728,2024-07-21,351.03,320.03,24.51,n
-2.96138,18.69156,2024-08-16,367.0,295.23,10.74,h
-6.1836,25.30819,2024-07-05,354.41,297.67,21.06,n
43.53197,-105.1023,2024-08-02,342.1,295.7,22.87,n
-18.61524,-57.70713,2024-09-10,367.0,307.67,36.37,h
-21.10955,47.87291,2024-12-23,346.52,303.02,10.71,n
7.1809,-5.85094,2024-11-29,342.08,304.17,24.86,n
-11.20459,30.43034,2024-07-27,367.0,307.3,21.18,h
-20.35382,127.49905,2024-10-29,367.0,290.56,13.1,h
-12.33098,17.20696,2024-08-08,341.26,308.69,13.45,n
64.78985,-120.13956,2024-08-09,367.0,303.9,90.52,h
59.24355,-119.68363,2024-07-18,347.54,299.91,59.92,n
26.89678,102.0854,2024-02-28,352.57,313.6,29.33,n
9.89491,-67.99716,2024-04-08,356.27,302.29,10.13,n
-16.2587,24.58631,2024-08-13,367.0,319.61,12.15,h
-21.43673,136.31804,2025-01-31,350.15,314.54,11.14,n
62.49657,-123.43871,2024-08-08,367.0,306.33,28.57,h
58.76699,111.86253,2024-07-31,348.13,303.87,17.96,n
-4.71093,36.94878,2024-08-09,349.86,291.76,10.56,n
15.66379,-84.1771,2024-05-24,353.97,293.46,19.15,n
36.04467,112.14859,2024-06-13,367.0,295.47,12.11,h
31.27099,48.11729,2024-06-11,337.54,315.64,31.42,n
-7.50835,18.23686,2024-08-14,341.52,287.07,10.07,n
-15.58108,-56.97645,2024-09-13,367.0,318.26,55.36,h
-5.42166,25.22227,2024-06-17,333.71,301.55,23.68,n
1.58261,-73.88785,2024-02-22,340.59,299.52,11.7,n
19.37404,94.78748,2024-04-03,341.41,310.93,11.79,n
4.24752,26.05024,2024-03-28,340.16,299.68,11.32,n
-7.48185,-50.82405,2024-08-11,342.64,294.85,14.43,n
-13.3044,36.02198,2024-09-26,351.58,311.19,59.5,n
5.54169,20.42267,2024-02-09,348.69,309.0,14.53,n
-2.5286,17.77438,2024-04-22,343.96,287.12,17.5,n
68.02003,145.75262,2024-08-12,325.68,284.65,10.44,n
20.21269,103.69356,2024-04-15,348.01,315.69,29.57,n
8.7656,19.74571,2024-12-31,353.95,309.35,11.72,n
-16.84612,-58.65911,2024-08-04,367.0,299.87,25.14,h
-15.77198,20.20775,2024-09-13,356.29,322.32,31.32,n
-21.6208,45.13207,2024-10-24,349.83,307.09,42.34,n
-7.38859,26.37737,2024-08-30,353.42,302.31,84.76,n
-11.57144,23.37651,2024-08-29,347.51,315.51,38.53,n
-13.51515,-72.1421,2024-08-29,353.07,316.76,23.43,n
15.07774,-86.71932,2024-04-27,351.66,301.16,10.61,n
-13.26664,-50.60993,2024-09-20,351.31,320.05,12.24,n
-4.99414,21.28374,2024-08-01,335.12,297.24,13.4,n
-25.46704,45.40485,2025-01-12,344.8,312.93,13.1,n
-8.70949,20.30019,2024-07-17,355.45,315.32,10.24,n
43.46017,-121.91141,2024-11-06,326.63,277.41,11.73,n
-4.8783,24.32686,2024-06-09,341.84,302.85,22.76,n
61.42478,122.25784,2024-07-12,345.75,299.26,12.93,n
-9.52204,23.77796,2024-09-16,340.76,301.93,16.47,n
8.65708,80.69896,2024-09-11,340.79,300.98,10.61,n
33.44814,-105.73518,2024-05-25,350.86,309.42,19.53,n
-0.68679,18.9697,2024-05-11,352.2,289.54,40.67,n
21.86812,98.52664,2024-03-27,367.0,300.51,11.47,h
-10.96493,-54.37978,2024-06-15,367.0,330.43,64.91,h
17.85339,-98.4037,2024-03-28,355.27,313.91,51.47,n
7.94174,19.91574,2024-03-02,352.58,303.98,58.87,n
13.76899,105.13248,2024-11-19,344.89,302.45,11.55,n
-17.20227,18.68432,2024-09-01,355.17,318.16,12.78,n
-9.49285,24.80856,2024-08-16,367.0,306.43,15.6,h
-16.23245,39.72221,2024-08-17,350.26,310.27,14.06,n
-7.65871,15.46795,2024-05-22,338.17,311.02,24.85,n
20.04722,101.89826,2024-04-28,349.83,299.61,11.33,n
-16.61116,29.72358,2024-10-19,347.86,320.34,30.47,n
-20.04304,144.53807,2024-12-08,355.0,308.97,11.19,n
-5.48894,16.14792,2024-08-03,334.61,299.61,15.3,n
-10.42455,15.98728,2024-07-08,367.0,304.19,18.79,h
-11.58265,-74.43461,2024-09-24,336.9,298.28,28.68,n
8.1585,11.26458,2025-02-01,354.05,302.95,19.28,n
-13.99303,21.30032,2024-08-12,367.0,348.89,68.85,h
10.64106,19.48975,2024-11-08,349.39,314.98,13.27,n
58.83385,-114.76416,2024-07-13,367.0,297.92,10.1,h
-11.31533,23.33354,2024-08-12,351.25,306.45,11.1,n
58.71194,-114.81709,2024-07-17,355.37,307.52,24.63,n
